node_id,timestamp,ID,geometry,x,y
10283,1753.49502294,10283,POINT (150.6886444092 -33.7486457825),150.688644409,-33.7486457825
10287,1755.37828255,10287,POINT (150.6886901855 -33.7484130859),150.688690186,-33.7484130859
10413,1760.75135535,10413,POINT (150.6900177002 -33.7469863892),150.6900177,-33.7469863892
10492,1773.59901334,10492,POINT (150.6909484863 -33.7455978394),150.690948486,-33.7455978394
10589,1792.47404595,10589,POINT (150.6918334961 -33.7433624268),150.691833496,-33.7433624268
10589,1824.81745029,10589,POINT (150.6918334961 -33.7433624268),150.691833496,-33.7433624268
10612,1826.10249946,10612,POINT (150.6920166016 -33.7434005737),150.692016602,-33.7434005737
10509,1845.00201443,10509,POINT (150.6911010742 -33.745639801),150.691101074,-33.745639801
10509,1905.00201443,10509,POINT (150.6911010742 -33.745639801),150.691101074,-33.745639801
10420,1918.12163064,10420,POINT (150.6901092529 -33.7470474243),150.690109253,-33.7470474243
10298,1932.27435322,10298,POINT (150.6887817383 -33.7483901978),150.688781738,-33.7483901978
10289,1935.03311461,10289,POINT (150.6887054443 -33.7487297058),150.688705444,-33.7487297058
10279,1938.25298641,10279,POINT (150.6885986328 -33.7491226196),150.688598633,-33.7491226196
10297,1941.34748044,10297,POINT (150.6887817383 -33.7494468689),150.688781738,-33.7494468689
10902,1978.91398468,10902,POINT (150.6944580078 -33.7504806519),150.694458008,-33.7504806519
11100,1987.27438271,11100,POINT (150.6959228516 -33.7506027222),150.695922852,-33.7506027222
11094,1988.0090179,11094,POINT (150.6959075928 -33.7506752014),150.695907593,-33.7506752014
11094,2048.0090179,11094,POINT (150.6959075928 -33.7506752014),150.695907593,-33.7506752014
11094,2008.0090179,11094,POINT (150.6959075928 -33.7506752014),150.695907593,-33.7506752014
11046,2020.30460148,11046,POINT (150.6954650879 -33.7518501282),150.695465088,-33.7518501282
11011,2026.36324882,11011,POINT (150.6952362061 -33.7524261475),150.695236206,-33.7524261475
11005,2028.18739767,11005,POINT (150.6951751709 -33.7526016235),150.695175171,-33.7526016235
10973,2032.93021202,10973,POINT (150.6950073242 -33.7530555725),150.695007324,-33.7530555725
11423,2057.67239518,11423,POINT (150.6978759766 -33.7536888123),150.697875977,-33.7536888123
11265,2069.65960316,11265,POINT (150.6969146729 -33.7545814514),150.696914673,-33.7545814514
11236,2071.56651039,11236,POINT (150.6967315674 -33.7546958923),150.696731567,-33.7546958923
11218,2072.37516246,11218,POINT (150.6966247559 -33.7547111511),150.696624756,-33.7547111511
11218,2132.37516017,11218,POINT (150.6966247559 -33.7547111511),150.696624756,-33.7547111511
11236,2133.18381224,11236,POINT (150.6967315674 -33.7546958923),150.696731567,-33.7546958923
