node_id,timestamp,ID,geometry,x,y
94135,2890.01306056,94135,POINT (151.0643920898 -34.0166358948),151.06439209,-34.0166358948
93919,2899.55353578,93919,POINT (151.0635681152 -34.0158843994),151.063568115,-34.0158843994
93842,2902.11669444,93842,POINT (151.0631866455 -34.015838623),151.063186645,-34.015838623
93671,2908.49304084,93671,POINT (151.0622406006 -34.0157089233),151.062240601,-34.0157089233
93536,2913.37370895,93536,POINT (151.0615234375 -34.0155792236),151.061523438,-34.0155792236
93567,2932.66436772,93567,POINT (151.061706543 -34.0131721497),151.061706543,-34.0131721497
93580,2936.11987823,93580,POINT (151.0618133545 -34.0127487183),151.061813355,-34.0127487183
93501,2939.03250501,93501,POINT (151.0613861084 -34.0126686096),151.061386108,-34.0126686096
93484,2939.65347147,93484,POINT (151.0612945557 -34.0126533508),151.061294556,-34.0126533508
93467,2940.41492525,93467,POINT (151.0611877441 -34.0126190186),151.061187744,-34.0126190186
92995,2964.55101643,92995,POINT (151.058883667 -34.0148429871),151.058883667,-34.0148429871
92880,2967.39243681,92880,POINT (151.0584564209 -34.0148429871),151.058456421,-34.0148429871
92796,2973.71978706,92796,POINT (151.0580291748 -34.0141677856),151.058029175,-34.0141677856
92595,3003.51402823,92595,POINT (151.0571899414 -34.0107116699),151.057189941,-34.0107116699
92463,3009.42147148,92463,POINT (151.0565032959 -34.0102424622),151.056503296,-34.0102424622
92400,3011.64418589,92400,POINT (151.0562438965 -34.0100669861),151.056243897,-34.0100669861
92181,3018.60899229,92181,POINT (151.0553283691 -34.0096855164),151.055328369,-34.0096855164
92181,3078.60899229,92181,POINT (151.0553283691 -34.0096855164),151.055328369,-34.0096855164
92400,3085.57379868,92400,POINT (151.0562438965 -34.0100669861),151.056243897,-34.0100669861
92279,3091.19257577,92279,POINT (151.0557403564 -34.0106315613),151.055740356,-34.0106315613
92279,3151.19257577,92279,POINT (151.0557403564 -34.0106315613),151.055740356,-34.0106315613
92142,3162.86956843,92142,POINT (151.0551452637 -34.0118980408),151.055145264,-34.0118980408
92011,3171.86851887,92011,POINT (151.0544891357 -34.0120353699),151.054489136,-34.0120353699
91948,3175.62203792,91948,POINT (151.0542144775 -34.0120887756),151.054214478,-34.0120887756
91403,3208.39257584,91403,POINT (151.0521087646 -34.011051178),151.052108765,-34.011051178
91403,3268.39257584,91403,POINT (151.0521087646 -34.011051178),151.052108765,-34.011051178
91948,3283.29552599,91948,POINT (151.0542144775 -34.0120887756),151.054214478,-34.0120887756
92011,3287.04904503,92011,POINT (151.0544891357 -34.0120353699),151.054489136,-34.0120353699
92142,3296.04799548,92142,POINT (151.0551452637 -34.0118980408),151.055145264,-34.0118980408
92202,3301.45376762,92202,POINT (151.0554199219 -34.0125350952),151.055419922,-34.0125350952
92261,3301.5183039,92261,POINT (151.0556793213 -34.0131492615),151.055679321,-34.0131492615
92261,3361.5183039,92261,POINT (151.0556793213 -34.0131492615),151.055679321,-34.0131492615
92202,3366.71784721,92202,POINT (151.0554199219 -34.0125350952),151.055419922,-34.0125350952
92142,3372.12361935,92142,POINT (151.0551452637 -34.0118980408),151.055145264,-34.0118980408
92279,3383.80061201,92279,POINT (151.0557403564 -34.0106315613),151.055740356,-34.0106315613
92279,3443.80061201,92279,POINT (151.0557403564 -34.0106315613),151.055740356,-34.0106315613
92400,3449.4193891,92400,POINT (151.0562438965 -34.0100669861),151.056243897,-34.0100669861
92463,3451.64210351,92463,POINT (151.0565032959 -34.0102424622),151.056503296,-34.0102424622
92595,3457.54954676,92595,POINT (151.0571899414 -34.0107116699),151.057189941,-34.0107116699
92845,3491.49876631,92845,POINT (151.0582885742 -34.0144271851),151.058288574,-34.0144271851
92880,3495.00213746,92880,POINT (151.0584564209 -34.0148429871),151.058456421,-34.0148429871
92995,3497.84355783,92995,POINT (151.058883667 -34.0148429871),151.058883667,-34.0148429871
93467,3521.97964901,93467,POINT (151.0611877441 -34.0126190186),151.061187744,-34.0126190186
93484,3522.7411028,93484,POINT (151.0612945557 -34.0126533508),151.061294556,-34.0126533508
93501,3523.36206926,93501,POINT (151.0613861084 -34.0126686096),151.061386108,-34.0126686096
93580,3526.27469604,93580,POINT (151.0618133545 -34.0127487183),151.061813355,-34.0127487183
93567,3529.73020655,93567,POINT (151.061706543 -34.0131721497),151.061706543,-34.0131721497
93536,3549.02086532,93536,POINT (151.0615234375 -34.0155792236),151.061523438,-34.0155792236
93671,3553.90153343,93671,POINT (151.0622406006 -34.0157089233),151.062240601,-34.0157089233
93842,3560.27787982,93842,POINT (151.0631866455 -34.015838623),151.063186645,-34.015838623
93919,3562.84103849,93919,POINT (151.0635681152 -34.0158843994),151.063568115,-34.0158843994
94135,3572.38151371,94135,POINT (151.0643920898 -34.0166358948),151.06439209,-34.0166358948
94157,3572.77726013,94157,POINT (151.064453125 -34.0166931152),151.064453125,-34.0166931152
